total_warehouse_quantity=250404279
category,total_quantity,unique_items,direct_subcategories
Accessories,65555259,261811,10
Adidas,27107240,108115,0
All items,250404279,1000000,5
Backpacks,5537431,22167,1
Bags,5432486,21779,1
Belts,16419395,65530,3
Blazers,5440811,21737,1
Blouses,5452300,21562,1
Boots,16416244,65416,3
Cardigans,5448392,21782,1
Casio,16403662,65476,0
Chukka,5516187,21891,1
Clothes,103315299,412374,12
Denim Jackets,5427054,21765,1
Desert,5434522,21610,1
Dresses,10915114,43527,2
G-Shock,5485067,21854,1
Gucci,21790373,87235,0
Gym Bags,5438466,21725,1
H&M,27278663,108587,0
Heels,5451935,21717,1
Hoodies,16337027,65220,3
Jeans,5467962,21751,1
Levis,21846035,87204,0
Loafers,5403589,21624,1
Nike,32592802,130431,0
Puma,27115675,108513,0
Reebok,27125947,108412,0
Running,10866232,43501,2
Scarves,5514757,21919,1
Shirts,5449499,21764,1
Shoes,54221593,216842,6
Shorts,10876718,43386,2
Skirts,16266047,64995,3
Sneakers,21568891,86278,4
Soccer,5438915,21709,1
Socks,5427323,21579,1
Sunglasses,5489582,21956,1
T-shirts,10834072,43333,2
Timberland,21869403,87146,0
Tote Bags,5425727,21748,1
Tracksuits,5400303,21552,1
Training,5492031,22013,1
Vintage,5410817,21703,1
Watches,16403662,65476,3
Work,5465535,21915,1
Wristbands,5362314,21489,1
Zara,27274479,108881,0
